"externalTitle","url","matchedLocalTitle","matchedLocalIndex","score"
"Cancel","https://ezhomes.co/shop/","",,"0"
"Latest","https://ezhomes.co/shop/c-latest/","",,"0"
"Corduroy &amp; Flannel Compression Sofa","https://ezhomes.co/shop/c-compression-sofa/","Corduroy & Flannel Sofa Cream","0","0.75"
"Compression Bed","https://ezhomes.co/shop/c-compression-bed/","Compression Bed Beige","3","0.9"
"Yellow","https://ezhomes.co/shop/_color-yellow/","",,"0"
"Forest Green","https://ezhomes.co/shop/_color-forest-green/","Corduroy & Flannel Sofa Sage Green","5","0.2"
"Slate","https://ezhomes.co/shop/_color-slate/","",,"0"
"Cream White","https://ezhomes.co/shop/_color-cream-white/","Corduroy & Flannel Sofa Cream","0","0.25"
"Orange","https://ezhomes.co/shop/_color-orange/","",,"0"
"Chestnut","https://ezhomes.co/shop/_color-chestnut/","",,"0"
"180cm","https://ezhomes.co/shop/_size-180cm/","",,"0"
"200cm","https://ezhomes.co/shop/_size-200cm/","",,"0"
"King","https://ezhomes.co/shop/_size-king/","",,"0"
"Queen","https://ezhomes.co/shop/_size-queen/","",,"0"
"Single","https://ezhomes.co/shop/_size-single/","",,"0"
"Compression Bed Beige","https://ezhomes.co/shop/compression-bed/compression-bed-7-beige/","Compression Bed Beige","3","1"
"Compression Bed Grey","https://ezhomes.co/shop/compression-bed/compression-bed-grey/","Compression Bed Beige","3","0.6666666666666666"
"Compression Bed Slate","https://ezhomes.co/shop/compression-bed/compression-bed-slate/","Compression Bed Beige","3","0.6666666666666666"
"Compression Bed Cream","https://ezhomes.co/shop/compression-bed/compression-bed-cream/","Compression Bed Beige","3","0.6666666666666666"
"Compression Bed Navy","https://ezhomes.co/shop/compression-bed/compression-bed-navy/","Compression Bed Beige","3","0.6666666666666666"
"Single Compression Bed Terracotta Brown","https://ezhomes.co/shop/compression-bed/single-compression-bed-terracotta-brown/","Compression Bed Beige","3","0.6666666666666666"
"Corduroy &#038; Flannel Sofa Space Grey","https://ezhomes.co/shop/latest/corduroy-flannel-sofa-space-grey/","Corduroy & Flannel Sofa Space Grey","1","1"
"Corduroy &#038; Flannel Sofa Ocean Blue","https://ezhomes.co/shop/latest/corduroy-flannel-sofa-ocean-blue/","Corduroy & Flannel Sofa Ocean Blue","2","1"
"Corduroy &#038; Flannel Sofa Light Pink","https://ezhomes.co/shop/latest/corduroy-flannel-sofa-light-pink/","Corduroy & Flannel Sofa Cream","0","0.75"
"Corduroy &#038; Flannel Sofa Maroon Red","https://ezhomes.co/shop/latest/corduroy-flannel-sofa-maroon-red/","Corduroy & Flannel Sofa Cream","0","0.75"
"Corduroy &#038; Flannel Sofa Terracotta Brown","https://ezhomes.co/shop/latest/corduroy-flannel-sofa-terracotta-brown/","Corduroy & Flannel Sofa Terracotta Brown","4","1"
"Corduroy &#038; Flannel Sofa Light Green","https://ezhomes.co/shop/latest/corduroy-flannel-sofa-light-green/","Corduroy & Flannel Sofa Sage Green","5","0.8"
"Corduroy &#038; Flannel Sofa Matcha Green","https://ezhomes.co/shop/latest/corduroy-flannel-sofa-matcha-green/","Corduroy & Flannel Sofa Sage Green","5","0.8"
"Corduroy &#038; Flannel Sofa Sage Green","https://ezhomes.co/shop/latest/corduroy-flannel-sofa-sage-green/","Corduroy & Flannel Sofa Sage Green","5","1"
"Corduroy &#038; Flannel Sofa Cream","https://ezhomes.co/shop/latest/corduroy-flannel-sofa-cream/","Corduroy & Flannel Sofa Cream","0","1"
